gid,code,ward,name,feature,fature_det,speciality,theme,type,address,phone,photo,the_geom
20,00-00-03-52-02,47,PRABHUTVA CHOWKA DHARALA DUKANAM,SHOP,,RATION SHOP,SHOP,GOVERNMENT,"SARANGADARAMETTA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000DB61F235BF5D61417CBE7B37105D3D41
21,00-00-02-05,47,SRI KANAKA DURGA TEMPLE SARANGADHARA METTA TEMPLE,TEMPLE,,SHIVA TEMPLE,RELIGIOUS,GOVERNMENT,"SARINGADHARA METTA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000002FF22AC1935D6141580FD523795C3D41
22,00-00-02-05,46,RAMA MANDIRAM,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"RAMADASU PETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000007D73AA7BB65D6141BB2EB9492E5F3D41
23,00-00-03-51,47,LITTLE ROSE CONVENT,SCHOOL,,NURSARY TO SEVENTH CLASS,EDUCATION,PRIVATE,"SUBBARAONAGAR,QUARY  ROAD, RAJAHMUNDRY.",9393014611,,0104000020E61000000100000001010000002E9A3C4EC75D6141DF7654200A5D3D41
24,00-00-03-52-03,47,TEJA WINES,SHOP,,WINE SHOP,SHOP,PRIVATE,"KORUKONDA ROAD, RAJAHMUNDRY.",,,0104000020E610000001000000010100000005CCB397915D614117AFE1D6755D3D41
25,00-00-03-31,41,RAJIV SRAMIKA BHAVAN,COMMUNITY HALL,,COMMUNITY HALL,ENTERTAINMENT,PRIVATE,"SRIRAM NAGAR, RAJAHMUNDRY.",,,0104000020E610000001000000010100000044A36D4DEC5C6141F8D5C1B2245A3D41
26,00-00-03-23,7,UCO BANK,BANK,RAJAHMUNDRY BRANCH,BANK,FACILITY,PRIVATE,"NANDAM GANIRAJU JUNCTION, RAJHMUNDRY.",,,0104000020E6100000010000000101000000C7D08EA0325D6141EF6DFA9F7E533D41
27,00-00-02-05,41,RAMAALAYAM,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"KAPUPETA, KOTILINGALA PETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000007EFCE140955C6141FD3B9B71FF593D41
28,00-00-03-52,7,VODAFONE STORE,SHOP,,MOBILE STORE,SHOP,PRIVATE,"BYEPASS ROAD, RAJAHMUNDRY.",,,0104000020E61000000100000001010000004722DDBA2C5D614130ADD6886F533D41
29,00-00-03-05,7,DR.A.KRISHNA KUMARI,HOSPITAL,"DR.A.KRISHNA KUMARI(MBBS, DCH)",MATARNITY HOSPITAL,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",0883-2471347,,0104000020E610000001000000010100000049B031BC3E5D61415E61752ED9513D41
30,00-00-03-09,7,SAHARA INDIA,OFFICE,,FINANCE OFFICE,,PRIVATE,"#46-10-15,JAMORCD,II FLOOR, DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000054A80D7E335D614129D36DCCA0523D41
31,00-00-03-27,7,TRIVIKRAM SPEECH & HEARING CLINIC,CLINIC,DR.J.TRIVIKRAM,SPEACH & HEARING CLINIC,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000284D3F37415D61418F1BAAC0E1513D41
32,00-00-03-27,7,NOWSHA'S ELECTROLISS & OBESITY CLINIC,CLINIC,,ELECTROLISIS & OBESITY CL,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",0883-2461155,,0104000020E610000001000000010100000087BE3EDB3A5D6141FBD13173DF523D41
33,00-00-03-27,7,SRI CLINIC,CLINIC,"DR.K.SRINIVSA REDDY(MSC, ORTHO NIMS)",ORTHOPEDIC & SPINAL SURGA,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",0883-2472494,,0104000020E610000001000000010100000048B39C393F5D614111CE6C72F6513D41
34,00-00-03-52-01,7,HAPPY MEDICALS,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",0883-2476905,,0104000020E61000000100000001010000005997B3033F5D6141FB113557CB513D41
35,00-00-03-09,6,TURPU KAPU VIDHA VIGNANA ABHIVRUDHI SAMGHA BHAVANAM,OFFICE,,KAPU SAMGHA BHAVANAM,SOCIAL ORGANIZATION,PRIVATE,"ANNAPURNAMMA PETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E83FA69B165D61417170F53DCF4F3D41
36,00-00-03-37,7,ROHINI DIAGNOSTIC LABORATORY,HEALTH,,DIAGNOSTIC CENTRE,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000EAF82235415D6141DB7C320DD0513D41
37,00-00-03-09,7,ASSISTANT COMMISONER OFFICE,OFFICE,ENDOWMENT,ENDOWMENT OFFICE,,GOVERNMENT,"DHARMIKA BHAVANAM, ENDOWMENT, EAST GODAVARI, RAJAHMUNDRY.",,,0104000020E610000001000000010100000075E79C06405D61413971FD9849523D41
38,00-00-03-09,4,"SRI BATHINA THIRUPAYYA & RAMACHANDRAMMA, MANIKYAM CHARITABLE TRUST",OFFICE,,TRUST,SOCIAL ORGANIZATION,PRIVATE,"#53-11-11, RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E61000000100000001010000004584394EBE5D6141DE663D55F3533D41
39,00-00-03-05-01,26,PATANJALI CHIKISTSALAYAM & AROGYA SEVA KENDRAM,HOSPITAL,,HOSPITAL,HEALTH,PRIVATE,"INNISPETA, RAJAHMUNDRY.",970493483,,0104000020E61000000100000001010000003AA411FAF95C614111EF6E68D24C3D41
40,00-00-03-52-02,7,PRABHUTVA CHOWDA DHARALADUKANAM,SHOP,SHOP NO:89,RATION SHOP,SHOP,GOVERNMENT,"#46-13-8,DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000BD8705FB455D6141CA4DA4CDE5513D41
41,00-00-03-52-01,7,ENGLISH MEDICAL STORE,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000EB70B7863F5D61413A0A6E8D17523D41
42,00-00-03-27,7,SRI SAI HOMEO CLINIC,CLINIC,"DR.G.VENKATRAO (BSC,BHMS)",HOMEO CLINIC,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.","0883-2475193, 9849599498",,0104000020E61000000100000001010000001F4FE282415D614132A2548BF6513D41
43,00-00-03-27,26,PAIN RELIF CLINIC,CLINIC,,CLINIC,HEALTH,PRIVATE,"STADIUM ROAD, RAJAHMUNDRY.",9347166999,,0104000020E6100000010000000101000000A2352021085D6141FC99CDF5C64D3D41
44,00-00-03-37,7,BEST DIGNOSTIC CENTRE,HEALTH,"DR.M.RAMAKRISHNA RAO (MBBS, PG DIP)",DIAGNOSTIC CENTRE,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",9849296853,,0104000020E610000001000000010100000022CC79543F5D61417B66053B0B523D41
45,00-00-03-05,26,GEETHA MULLAPUDI INTERNATIONAL HIGH TECHNOLOGY DENTAL HOSPITAL,HOSPITAL,"DR.M.RAJENDRA PRASAD (BDS), DR.M.SANGETHA (BDS)",DENTAL HOSPITAL,HEALTH,PRIVATE,"NEAR KOTIPALLI BUS STAND, RAJAHMUNDRY.","0883-2426775, 242639",,0104000020E6100000010000000101000000EB4B6751F35C6141636650A07B4C3D41
46,00-00-03-27,6,SRI SIDHARTH CLINIC,CLINIC,DR.V.RAJU (BMP),CLINIC,HEALTH,PRIVATE,"ANNAPURNAMMA PETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000060D3B315205D61411D56B766B24F3D41
47,00-00-03-57,4,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 26,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"#52-13-9, RAJENDRANAGAR-I, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000CB81EF56AA5D6141CB27CCCE10543D41
48,00-00-03-52-01,26,SURYA MEDICALS,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"#6-5-17/1, SHYAMALA CENTRE, RAJAHMUNDRY.",9985175034,,0104000020E6100000010000000101000000FE8016C4E85C61419D4DCE4CDD4C3D41
49,00-00-03-51,4,SEETARAMPETA PATAKACHERI MUNCIPAL CORPORATION PRIMARY SCHOOL,SCHOOL,MUNCIPAL CORPORATION,T M PRIMARY SCHOOL,EDUCATION,GOVERNMENT,"RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000F34BB065AF5D6141EBCEB957F4533D41
50,00-00-02-05,4,SRI KRISHNAALAYAM,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E61000000100000001010000004C9F82E28B5D61413CFA4F06AC543D41
51,00-00-03-54,25,VIJAYA THEATRE,THEATRE,NON A.C,CINEMA HALL,ENTERTAINMENT,PRIVATE,"DELUXE CENTRE, MAIN ROAD, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E216C416DA5C614129D557A5AD4D3D41
52,00-00-03-49-01,26,SRI SUDHA RESTAURANT & BAR,RESTAURANT,RESTAURANT & BAR,RESTAURANT & BAR,HOSPITALITY,PRIVATE,"STADIUM ROAD, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A6461A2D075D6141DD7D195EC14D3D41
53,00-00-03-52-02,4,PRABHUTVA CHOWKA DHARALA DUKANAM,SHOP,SHOP NO:73,RATION SHOP,SHOP,GOVERNMENT,"#52-4-3,RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E61000000100000001010000007EDCEAEE915D614103FC589E5D543D41
54,00-00-02-05,6,SRI PAANDURANGA SWAMY DEVALAYAM,TEMPLE,,PANDURANGA TEMPLE,RELIGIOUS,PRIVATE,"ANNAPURNAMMA PETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E63A2DD41D5D61417D8991BF00503D41
55,00-00-03-05-01,26,SRI LAKSHMI DENTAL HOSPITAL,HOSPITAL,,DENTAL HOSPITAL,HEALTH,PRIVATE,"BACK SIDE OF KOTIPALLI BUS STAND, RAJAHMUNDRY.",0883-2425188,,0104000020E6100000010000000101000000D729EE3FFA5C61411C3D4DE64F4C3D41
56,00-00-03-37,7,PHANIDRA SCANNING CENTRE,HEALTH,DR.PHANIDRANATH,SCANNING CENTRE,HEALTH,PRIVATE,"DAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000C0E1C353415D614158BF054AF0523D41
57,00-00-03-52-01,26,RAVI MEDICAL & GENERAL STORES,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"#6-5-15, OPP. SHYMALA THEATRE, RAJAHMUNDRY.","0883-2470615, 2473411",,0104000020E61000000100000001010000007A1B3C54E45C61415A8146F4084D3D41
58,00-00-03-09,26,MUTHOOT FINANCE,OFFICE,,FINANCE OFFICE,,PRIVATE,"STADIUM ROAD, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000D65B082AE85C61417474850AE64C3D41
59,00-00-03-52-03,26,MENAKA REDDY WINES,SHOP,,WINE SHOP,SHOP,PRIVATE,"STADIUM ROAD, RAJAHMUNDRY.",,,0104000020E610000001000000010100000035AF185DE95C6141B45346FD124D3D41
60,00-00-03-09,7,FUTURE GENERALI,OFFICE,TOTAL INSURANCE SOLUTIONS,INSURANCE COMPANY,,PRIVATE,"I FLOOR, MOUNIKA PLAZA, DAVAIPETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000001DB10500445D61412286BBC4D6523D41
61,00-00-03-52-03,7,SVS WINES,SHOP,,WINE SHOP,SHOP,PRIVATE,"BESIDE TCS EDUCAION, DURGA COMPLEX, DAVAIPETA, , RAJAHMUNDRY.",,,0104000020E610000001000000010100000052A66DE5335D61415330A9EDE0523D41
62,00-00-03-09,7,INDIA BULLS HOME LOANS,OFFICE,,FINANCE OFFICE,,PRIVATE,"#46-12-23/2, OPP.MOUNIKA PLAZA, DAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000EDA800A5435D6141B37D0F6EED523D41
63,00-00-03-51,7,RAVINDRA VIDYANIKETAN,SCHOOL,,E M SCHOOL,EDUCATION,PRIVATE,"DAVAIPETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000051CD72853B5D6141499010745F533D41
64,00-00-03-10,7,INDIAN OIL PETROL BUNK,PETROL PUMP,,PETROL BUNK,FACILITY,PRIVATE,"BYEPASS ROAD, RAJAHMUNDRY.",,,0104000020E61000000100000001010000000A973D62315D6141B8F9CFB751533D41
65,00-00-03-22,7,DENA BANK ATM,ATM,RAJAHMUNDRY BRANCH,ATM,FACILITY,GOVERNMENT,"OPP. S.K.V.T.E.M.SCHOOL, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E8ADD04C405D6141BFF9FE1089533D41
66,00-00-02-02,6,SAINT PAUL EAST PERISH LUTHERN CHURCH,CHURCH,,CHURCH,RELIGIOUS,PRIVATE,"LAKSHMI TAKIS ROAD, CEMENTRY PETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000009A979E872A5D6141D5243C4B82513D41
67,00-00-02-03,6,A.E.L.C BURIAL GROUND,GRAVE,CHRISTIAN'S,BURIAL GROUND,RELIGIOUS,PRIVATE,"LUTHERN CHRUCH, CEMENTRY PETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000F67F6B08265D614166C4DD8EE7513D41
68,00-00-03-22,7,UCO Bank ATM,ATM,RAJAHMUNDRY BRANCH,ATM,FACILITY,PRIVATE,"NANDAM GANIRAJU JUNCTION, RAJHMUNDRY.",,,0104000020E61000000100000001010000001845B523325D61419A1810977F533D41
69,00-00-03-30,7,NIVYA JUNIOR COLLEGE,COLLEGE,,JUNIOR COLLEGE,EDUCATION,PRIVATE,"DAVAIPETA, RAJAHMUNDRY.",0883-2448356,,0104000020E6100000010000000101000000567A20C03A5D61413D8CFB990C533D41
70,00-00-03-37,7,NIVYA DIAGNOSTIC CENTRE,HEALTH,,DIAGNOSTIC CENTRE,HEALTH,PRIVATE,"DAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000CE123CD33C5D6141349196B00C533D41
71,00-00-03-37,7,HEALTH CARE DIAGNOSTIC LABORATORY,HEALTH,DR.K.V.RAMANA RAO(MD DTCD),DIAGNOSTIC CENTRE,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E4C44F6C3F5D61412B35EF9D06523D41
72,00-00-03-09,6,NAGARA CONGRESS KARYALAYAMU,OFFICE,POLITICAL PARTY OFFICE,CONGRESS PARTY OFFICE,SOCIAL ORGANIZATION,PRIVATE,"UPPU VEEDHI, JAMPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000CB85881D1F5D614104BC1CC1B7523D41
73,00-00-03-31,4,RAJENDRA NAGAR COMMUNITY HALL,COMMUNITY HALL,MUNCIPAL CORPORATION OF RAJHAMUNDRY,COMMUNITY HALL,ENTERTAINMENT,GOVERNMENT,"RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000545D9C8E8E5D61416DB2A8331F543D41
74,00-00-03-09,7,CCC CABLE COMPANY PRIVATE LTD,OFFICE,,T V,,PRIVATE,"#46-11-34, I FLOOR, MADHURI BUILDINGS, DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000000972FCF63B5D6141670D7CD894523D41
75,00-00-03-05,7,BHAVYA SKIN HOSPITAL,HOSPITAL,DR.HARANATH (MD FRSH),SKIN HOSPITAL,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000006BE765C9395D614145D06775B0523D41
76,00-00-03-33,6,SRI UMARAMALINGAESWARA SWAMY KALYANA MANDAPAM,FUNCTION HALL,,FUNCTION HALL,ENTERTAINMENT,GOVERNMENT,"UPPU VEEDHI, JAMPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000664431B1195D6141A8EDD9FAD5523D41
77,00-00-03-37,7,HARSHA DIAGNOSTIC LABORATORY,HEALTH,,DIAGNOSTIC CENTRE,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",99497223227,,0104000020E6100000010000000101000000E04D64633D5D614117242EA6BC513D41
78,00-00-03-05,7,SRI HARI SKIN HOSPITAL,HOSPITAL,DR.M.SRIHARI PRASANNAKUMAR REDDY,SKIN HOSPITAL,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",0883-2424252,,0104000020E6100000010000000101000000C8A7F03E3C5D614184AAC323BE513D41
79,00-00-03-37,7,PRIME PATH LABS (SPECIAL LABORATORY),HEALTH,DR.K.PRAVEEN KUMAR(MD),LABORATORY,HEALTH,PRIVATE,"#46-11-21,MADDURI STREET, DANAVAIPETA, RAJAHMUNDRY.",0883-2477966,,0104000020E610000001000000010100000063250FAC395D614158F82CE586523D41
80,00-00-03-22,7,CORP BANK ATM,ATM,,ATM,FACILITY,PRIVATE,"BESIDE NOKIA CARE, DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000000F410778355D61418F54C5516D523D41
81,00-00-03-05,7,ANJANA ENT CARE,HOSPITAL,"DR.D.S.ARUNKUMAR (MS, ENT)",ENT HOSPITAL,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",9490886118,,0104000020E6100000010000000101000000937CEBF9455D61419EB76591DC513D41
82,00-00-03-23,7,STATE BANK OF INDIA,BANK,REGIONAL BUSINESS OFFICE,BANK,FACILITY,GOVERNMENT,"GROUND FLOOR, MOUNIKA PLAZA, DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000000FEE083E445D61410E67C5D5D2523D41
83,00-00-03-05,7,NEST NEW BORN HOSPITAL,HOSPITAL,DR.P.RAVIKIRAN(MD DCH),HOSPITAL,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A377E16E3F5D61415377842A1C523D41
84,00-00-03-05,7,RAMA CHILDREN NURSING HOME,HOSPITAL,DR.P.SAGAR,NURSING HOSPITAL,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000089EDAC9F415D6141C1235D7D1B523D41
85,00-00-03-52-02,4,PRABHUTVA CHOWKA DHARALA DUKANAM,SHOP,SHOP NO: 72,RATION SHOP,SHOP,GOVERNMENT,"#48-15-9,RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000B5223CFD885D6141C038FA1635543D41
86,00-00-03-41,7,ADHYATMIKA GRANDHALAYAM,LIBRARY,SHOP,LIBRARY,EDUCATION,PRIVATE,"BYEPASS ROAD, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000F4A551402E5D6141AF35457169533D41
87,00-00-03-05,7,SUGUNA CHILDREN HOSPITAL,HOSPITAL,DR.B.DURGA PRASAD(MD PG),CHILDREN HOSPITAL,HEALTH,PRIVATE,"DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000002EB22633F5D61418C52E5A7B9513D41
88,00-00-03-27,11,VITAL HOMEOCARE,CLINIC,DR.B.NARASIMHA GUPTA(GOVERNMENT MEDICAL OFFICER),SUPER SPECIALIST HOMEO CLINIC,HEALTH,PRIVATE,"TILAK ROAD, RAJAHMUNDRY.",0883-2472829,,0104000020E61000000100000001010000004D521419FA5D61411D549387E0513D41
89,00-00-02-05,29,SRI SRI SRI SYMALAMBA AMMAVARI DEVASTANAM,TEMPLE,ENDOWMENTS,SYMALAMBA TEMPLE,RELIGIOUS,GOVERNMENT,"MANGALA VARAPU PETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000002693F0F7ED5C6141F9DEEC432B503D41
90,00-00-02-05,29,HANUMANALAYAM,TEMPLE,,HANUMAN TEMPLE,RELIGIOUS,PRIVATE,"BESIDE SYMALAMBA TEMPLE, MANGALA VARAPU PETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000003AE83952EC5C614158EAAF5C2C503D41
91,00-00-02-02,13,CHURCH,CHURCH,,CHURCH,RELIGIOUS,PRIVATE,"AMBEDKAR NAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000BB8D9263695D61413234C993364F3D41
92,00-00-03-52-02,7,PRABHUTVA CHOWKA DHARALA DUKANAM,SHOP,SHOP NO:59,RATION SHOP,SHOP,GOVERNMENT,"#46-10-43/1, DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000080F8C2FA355D61413B2E1339B7523D41
93,00-00-03-23,7,DENA BANK,BANK,RAJAHMUNDRY BRANCH,BANK,FACILITY,GOVERNMENT,"OPP. S.K.V.T.E.M.SCHOOL, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000004BC8C9405D6141621F501689533D41
94,00-00-03-27,13,ASWINI CLINIC,CLINIC,,CLINIC,HEALTH,PRIVATE,"GORAKSHNAPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000D91A6D3F585D6141F83DB1D7BB503D41
95,00-00-03-38,4,S W COLLEGE GIRLS HOSTEL,HOSTEL,,HOSTEL,RESIDENTIAL AREA,PRIVATE,"OPP.RAJENDRANAGAR COMMUNITY HALL,RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000B43F217C8F5D6141FA5F87323F543D41
96,00-00-03-49,50,VIJAYANANDA RESTURANT,RESTAURANT,,WINE SHOP,HOSPITALITY,PRIVATE,"LALACHERUVU JUNCTION, RAJAHMUNDRY.","9848506969,9885296496",,0104000020E61000000100000001010000000F55662DA45E614194C93082445B3D41
97,00-00-02-05,50,SRI VENUGOPALA RAMAMANDIRAM,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"QUARRY ROAD,  SBI EMPLOYES COLONY, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000542616634C5E614175C6D86B565B3D41
98,00-00-02-05,50,SRI DATHA SAI TEMPLE,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"OPP CENTRAL JAIL, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000CEDFB4A7F25D614134DA803F78583D41
99,00-00-03-35,50,TTD-ENDOMENT CAMP HOUSE,GUEST HOUSE,,GUEST HOUSE,HOSPITALITY,GOVERNMENT,"GOPALACHARI STREET,CTRI ROAD, RAJAHMUNDRY.",,,0104000020E61000000100000001010000002722064EED5D614106958708EC583D41
