city,area,family_size,male,female,age_lt15,age_15btw25,age_25btw45,age_gt45,no_of_children,occupation,education,no_of_working_members,child_working_below_15,type_of_ration_card,health_card,no_of_deceased_people,no_of_handicapped_people,car,bike,tractor,house,land,gold,monthly_income,government_income,pension_income,private_income,caste,nearest_hospital,nearest_primary_school,nearest_high_school,nearest_college,nearest_university,postal_savings,bank_savings,chit_savings,other_savings,agricultural_status,type_of_building,type_of_water_source,source_of_drinking_water,presence_of_toilet_facility,electricity_connection,television,refrigerator,air_conditioner,heater,fan,computer,electricity_bill,gas_connection,no_of_lic_policies,income_status,cable_connection,internet_connection,poverty_status,latitude,longitude
Rajahmundry,Rural,4,2,2,2,0,2,0,2,Business,Graduation,1,0,White,Yes,0,0,0,1,1,1,0,35,12000,0,0,12000,BC,4,5,4,5,10,0,65000,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,2,0,120,Yes,0,Remains Same,No,No,Poor,17.051548,81.936256
Rajahmundry,Rural,3,2,1,1,0,2,0,1,Business,SSC,1,0,White,No,0,0,0,1,0,1,1,50,10000,0,0,10000,OC,5,3,5,8,10,0,45000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,1,1,40,Yes,0,Remains Same,No,Yes,Poor,17.045854,81.930665
Rajahmundry,Rural,6,2,4,2,1,2,1,3,Business,Intermediate,2,0,White,Yes,1,0,0,1,0,1,2,60,33000,0,9000,24000,SC,5,2,5,9,15,0,80000,0,0,Increase,Single Floor,Tap,Inside,Inside,Yes,1,1,0,1,3,1,320,Yes,2,Increase,Yes,Yes,Middle,17.125785,81.826328
Rajahmundry,Rural,4,2,2,1,1,2,0,2,Teacher,6th Standard,1,0,White,Yes,0,0,0,1,0,0,0,20,8000,0,0,8000,OC,6,3,4,4,15,0,0,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,50,Yes,0,Remains Same,No,No,Poor,17.055488,81.887997
Rajahmundry,Rural,5,3,2,1,2,2,0,3,Leather Work,SSC,1,0,No,Yes,0,0,0,0,0,1,1,35,14000,0,0,14000,SC,3,1,3,6,11,0,70000,0,0,Increase,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,1,0,70,Yes,0,Remains Same,No,No,Middle,17.120735,81.828911
Rajahmundry,Rural,4,1,3,1,1,2,0,2,Fishing,6th Standard,1,0,White,Yes,0,0,1,1,0,1,1,80,30000,0,0,30000,OC,6,2,2,4,10,0,90000,0,0,Increase,Shed,Bore,Inside,Inside,Yes,1,1,1,0,2,1,220,Yes,2,Increase,Yes,Yes,Middle,17.116552,81.836754
Rajahmundry,Rural,5,2,3,1,2,2,0,3,Fishing,6th Standard,1,0,No,Yes,0,0,0,1,0,1,0,60,20000,0,0,20000,SC,3,2,2,7,10,0,0,0,0,Decrease,Second Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,70,Yes,1,Decrease,No,Yes,Poor,17.113547,81.838675
Rajahmundry,Rural,4,3,1,2,0,2,0,2,Farmer,SSC,1,0,White,No,1,0,0,1,1,1,0,45,12000,0,0,12000,BC,4,2,4,7,10,0,65000,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,2,0,90,Yes,0,Remains Same,No,Yes,Poor,17.124659,81.851902
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Farmer,Intermediate,1,0,White,Yes,1,0,0,1,0,1,1,30,10000,0,0,10000,OC,5,3,5,8,11,0,35000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,1,1,70,Yes,0,Remains Same,No,Yes,Poor,17.117001,81.871391
Rajahmundry,Rural,6,3,3,1,2,2,1,3,Farmer,Graduation,2,0,White,Yes,0,1,0,1,0,1,0,80,26000,0,6000,20000,BC,4,1,2,4,10,0,25000,0,0,Increase,Single Floor,Tap,Outside,Inside,Yes,1,0,0,0,3,0,120,Yes,1,Remains Same,No,Yes,Middle,17.101301,81.879466
Rajahmundry,Rural,5,3,2,1,2,2,0,3,Farmer,Graduation,1,0,White,No,0,0,0,0,0,1,1,25,14000,0,0,14000,SC,3,2,3,8,11,0,0,0,0,Remains Same,Shed,Tap,Outside,Outside,Yes,0,0,0,0,1,0,40,No,0,Remains Same,No,Yes,Middle,17.09799,81.880487
Rajahmundry,Rural,4,1,3,1,1,2,0,2,Business,Graduation,1,0,White,Yes,0,0,1,1,0,1,1,80,30000,0,0,30000,OC,4,2,2,4,10,0,95000,0,0,Decrease,Second Floor,Bore,Inside,Inside,Yes,1,1,1,0,2,1,250,Yes,0,Increase,Yes,Yes,Middle,17.109521,81.905885
Rajahmundry,Rural,2,1,1,0,0,2,0,0,Business,Graduation,1,0,White,Yes,0,0,0,1,0,0,0,40,12000,0,0,12000,OC,4,2,3,10,10,0,0,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,1,0,120,Yes,0,Remains Same,Yes,Yes,Poor,17.121643,81.902575
Rajahmundry,Rural,4,1,3,1,1,2,0,2,Fishing,SSC,1,0,White,Yes,1,0,1,1,0,1,1,80,30000,0,0,30000,OC,6,3,2,6,15,0,80000,0,0,Remains Same,Second Floor,Tap,Inside,Inside,Yes,1,1,1,0,2,1,250,Yes,2,Increase,Yes,Yes,Middle,17.135639,81.907323
Rajahmundry,Rural,4,2,2,2,0,2,0,2,Business,Intermediate,1,0,White,No,0,0,0,1,1,1,0,15,12000,0,0,12000,BC,4,2,6,3,10,0,35000,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,2,0,30,Yes,0,Remains Same,No,No,Poor,17.141923,81.919367
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Business,Graduation,1,0,White,Yes,0,0,0,1,0,1,1,30,10000,0,0,10000,OC,5,3,5,8,10,0,25000,0,0,Increase,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,1,1,50,Yes,0,Remains Same,No,Yes,Poor,17.039327,81.826346
Rajahmundry,Rural,6,2,4,2,1,2,1,2,Business,6th Standard,2,0,No,Yes,1,0,0,1,0,1,2,60,30000,0,6000,24000,BC,3,2,5,10,11,6000,30000,0,0,Increase,Second Floor,Bore,Inside,Inside,Yes,1,1,0,1,3,1,300,Yes,1,Increase,ny,Yes,Middle,17.036293,81.808835
Rajahmundry,Rural,4,2,2,1,1,2,0,2,Business,Graduation,1,0,White,Yes,0,0,0,1,0,0,0,20,8000,0,0,8000,OC,6,1,3,8,10,0,0,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,60,Yes,0,Remains Same,No,Yes,Poor,17.04503,81.811626
Rajahmundry,Rural,5,3,2,1,2,2,0,3,Farmer,8th Standard,1,0,White,Yes,0,0,0,0,0,1,1,35,14000,0,0,14000,SC,3,2,5,6,11,0,25000,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,1,0,0,0,2,0,100,Yes,0,Remains Same,No,Yes,Middle,17.025107,81.810861
Rajahmundry,Rural,6,2,4,2,1,2,1,3,Leather Work,SSC,2,0,White,Yes,1,0,1,1,0,1,2,60,36000,0,12000,24000,SC,8,2,5,10,11,0,60000,0,0,Decrease,Single Floor,Tap,Inside,Inside,Yes,1,1,0,1,3,1,300,Yes,2,Increase,Yes,Yes,Middle,17.011361,81.808185
Rajahmundry,Rural,4,2,2,1,1,2,0,2,Teacher,Intermediate,1,0,White,No,0,0,0,1,0,0,0,20,8000,0,0,8000,OC,6,3,3,8,11,0,0,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,60,Yes,0,Remains Same,No,No,Poor,17.009862,81.825008
Rajahmundry,Rural,5,3,2,1,2,2,0,3,Teacher,SSC,1,0,No,Yes,0,0,0,0,0,1,1,35,14000,0,0,14000,SC,3,2,3,9,10,0,10000,0,0,Increase,Shed,Tap,Outside,Outside,Yes,0,0,0,0,1,0,30,No,0,Remains Same,No,Yes,Middle,16.991796,81.857556
Rajahmundry,Rural,4,1,3,1,1,2,0,2,Business,SSC,1,0,White,Yes,1,0,1,1,0,1,1,80,30000,0,0,30000,OC,4,2,2,6,15,0,60000,0,0,Remains Same,Second Floor,Bore,Inside,Inside,Yes,1,1,1,0,2,1,250,Yes,1,Increase,Yes,Yes,Middle,16.990347,81.887147
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Business,Graduation,1,0,White,Yes,0,0,0,1,0,1,0,13,10000,0,0,10000,OC,3,1,2,5,10,0,0,0,0,Remains Same,Shed,Bore,Outside,Inside,Yes,0,0,0,0,2,0,110,Yes,0,Increase,No,Yes,Poor,17.016574,81.874372
Rajahmundry,Rural,3,2,1,1,0,2,0,1,Business,8th Standard,1,0,White,Yes,0,0,0,1,0,1,1,35,18000,0,0,18000,BC,3,8,6,10,15,0,75000,0,0,Remains Same,Second Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,200,Yes,2,Increase,Yes,Yes,Middle,17.023131,81.85041
Rajahmundry,Rural,4,2,2,0,2,1,1,1,Business,7th Standard,1,0,White,Yes,1,0,0,1,0,1,1,40,24000,0,0,24000,BC,4,2,6,5,10,0,85000,0,0,Increase,Single Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,150,Yes,0,Remains Same,Yes,Yes,Middle,17.031067,81.87495
Rajahmundry,Rural,3,2,1,1,2,0,0,1,Business,SSC,1,0,White,No,0,0,0,1,0,1,0,30,18000,0,0,18000,BC,5,3,3,8,11,0,95000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,2,0,100,Yes,0,Remains Same,Yes,Yes,Middle,17.038345,81.895113
Rajahmundry,Rural,4,2,2,0,2,1,1,1,Business,SSC,1,0,White,Yes,1,0,0,1,0,1,1,60,24000,0,0,24000,BC,4,2,6,5,10,0,0,0,0,Remains Same,Single Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,110,Yes,0,Remains Same,Yes,Yes,Middle,17.051852,81.875598
Rajahmundry,Rural,3,2,1,1,2,0,0,1,Farmer,SSC,1,0,White,Yes,0,1,0,1,0,1,0,30,18000,0,0,18000,BC,5,3,3,6,10,0,80000,0,0,Increase,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,2,0,120,Yes,0,Remains Same,Yes,Yes,Middle,17.048871,81.914061
Rajahmundry,Rural,6,4,2,1,2,2,1,3,Farmer,SSC,2,0,White,Yes,0,0,0,1,0,1,0,80,24000,0,6000,18000,OC,1,1,1,4,15,0,35000,0,0,Remains Same,Shed,Tap,Outside,Inside,Yes,1,0,0,0,3,0,120,Yes,1,Remains Same,Yes,Yes,Middle,17.043856,81.925685
Rajahmundry,Rural,5,3,2,1,2,2,0,3,Teacher,Graduation,1,0,No,Yes,1,0,0,0,0,1,1,35,14000,0,0,14000,SC,3,2,3,8,15,0,35000,0,0,Increase,Second Floor,Tap,Outside,Outside,Yes,0,0,0,0,1,0,35,Yes,0,Remains Same,No,No,Middle,17.050316,81.937451
Rajahmundry,Rural,4,2,2,1,1,2,0,2,Carpenter,Graduation,1,0,White,Yes,0,0,1,1,0,1,1,90,30000,0,0,30000,OC,4,2,4,4,15,0,25000,0,0,Increase,Shed,Bore,Inside,Inside,Yes,1,1,1,0,2,1,250,Yes,1,Increase,Yes,Yes,Middle,17.057951,81.93953
Rajahmundry,Rural,4,1,3,1,1,2,0,2,Fishing,Intermediate,1,0,White,Yes,0,0,1,1,0,1,1,80,30000,0,0,30000,OC,4,2,2,6,11,0,0,0,0,Remains Same,Second Floor,Bore,Inside,Inside,Yes,1,1,1,0,2,1,250,Yes,2,Increase,Yes,Yes,Middle,17.058538,81.934852
Rajahmundry,Rural,5,2,3,1,2,2,0,3,Fishing,SSC,1,0,White,Yes,0,0,0,1,0,1,0,60,20000,0,0,20000,SC,3,3,2,6,10,0,95000,0,0,Decrease,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,50,Yes,1,Decrease,No,Yes,Poor,17.058358,81.924504
Rajahmundry,Rural,4,2,2,2,0,2,0,2,Fishing,Intermediate,1,0,White,Yes,0,0,0,1,1,1,0,55,12000,0,0,12000,BC,4,2,4,7,11,0,0,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,2,0,30,Yes,0,Remains Same,No,Yes,Poor,17.055918,81.918078
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Farmer,Intermediate,1,0,No,Yes,0,0,0,1,0,1,1,30,10000,0,0,10000,OC,5,3,5,8,15,0,60000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,1,1,50,Yes,0,Remains Same,Yes,Yes,Poor,17.059939,81.925118
Rajahmundry,Rural,4,2,2,2,0,2,0,2,Farmer,Intermediate,1,0,White,Yes,0,0,0,1,1,1,0,35,12000,0,0,12000,BC,4,1,4,7,10,1000,40000,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,2,0,100,Yes,0,Remains Same,No,Yes,Poor,17.061655,81.943121
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Business,6th Standard,1,0,White,Yes,0,0,0,1,0,1,1,30,10000,0,0,10000,OC,5,3,5,8,10,0,80000,0,0,Increase,Single Floor,Bore,Outside,Inside,Yes,0,0,0,0,1,1,50,Yes,0,Remains Same,No,Yes,Poor,17.058041,81.943877
Rajahmundry,Rural,6,3,3,2,1,2,1,3,Carpenter,6th Standard,2,0,White,Yes,1,0,0,1,0,1,2,60,20000,0,5000,15000,SC,5,2,4,3,11,0,90000,0,0,Remains Same,Second Floor,Tap,Inside,Inside,Yes,1,1,0,1,3,1,260,Yes,1,Increase,Yes,Yes,Middle,17.042275,81.943452
Rajahmundry,Rural,3,1,2,1,2,0,0,1,Carpenter,SSC,1,0,White,No,0,0,0,1,0,1,0,30,18000,0,0,18000,BC,5,1,3,7,14,0,45000,0,0,Increase,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,2,0,120,Yes,0,Remains Same,Yes,Yes,Middle,17.044489,81.939436
Rajahmundry,Rural,4,2,2,0,2,1,1,1,Carpenter,7th Standard,1,0,White,Yes,1,0,0,1,0,1,1,90,24000,0,0,24000,BC,4,2,6,5,10,0,120000,0,0,Increase,Single Floor,Tap,Inside,Inside,Yes,1,1,0,0,3,1,130,Yes,0,Remains Same,Yes,Yes,Middle,17.039655,81.94403
Rajahmundry,Rural,3,2,1,1,2,0,0,1,Farmer,7th Standard,1,0,White,Yes,0,0,0,1,0,1,0,30,18000,0,0,18000,BC,5,3,4,5,11,0,100000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,2,0,170,Yes,0,Remains Same,Yes,Yes,Middle,17.040014,81.945296
Rajahmundry,Rural,5,3,2,1,2,1,1,2,Business,4th Standard,1,0,White,Yes,1,0,0,1,0,1,1,60,24000,0,0,24000,BC,4,2,6,5,10,5000,100000,0,0,Increase,Single Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,150,Yes,0,Remains Same,Yes,Yes,Middle,16.926663,81.796279
Rajahmundry,Rural,3,2,1,1,2,0,0,1,Business,SSC,1,0,White,Yes,0,0,0,1,0,1,0,30,18000,0,0,18000,BC,5,3,5,8,11,0,80000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,2,0,100,Yes,0,Remains Same,Yes,Yes,Middle,16.930439,81.806336
Rajahmundry,Urban,6,4,2,1,2,2,1,3,Business,Intermediate,2,0,White,Yes,0,1,0,1,0,1,0,80,24000,0,6000,18000,OC,2,1,1,4,15,0,90000,0,0,Increase,Single Floor,Tap,Outside,Inside,Yes,1,0,0,0,3,0,120,Yes,1,Remains Same,Yes,Yes,Middle,16.922706,81.80247
Rajahmundry,Rural,4,1,3,1,1,2,0,2,Business,Intermediate,1,0,White,Yes,1,0,1,1,0,1,1,80,30000,0,0,30000,OC,4,2,2,6,15,0,60000,0,0,Remains Same,Second Floor,Bore,Inside,Inside,Yes,1,1,1,0,2,1,250,Yes,1,Increase,Yes,Yes,Middle,16.927827,81.810121
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Business,Graduation,1,0,White,Yes,0,0,0,1,0,1,0,13,10000,0,0,10000,OC,3,1,2,5,10,0,0,0,0,Remains Same,Shed,Bore,Outside,Inside,Yes,0,0,0,0,2,0,110,Yes,0,Increase,No,No,Poor,16.930387,81.806282
Rajahmundry,Rural,3,2,1,1,0,2,0,1,Fishing,Graduation,1,0,White,Yes,0,0,0,1,0,1,1,35,18000,0,0,18000,BC,3,8,6,10,15,0,75000,0,0,Remains Same,Second Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,200,Yes,2,Increase,Yes,Yes,Middle,16.922499,81.792521
Rajahmundry,Rural,4,2,2,0,2,1,1,1,Fishing,Graduation,1,0,White,Yes,1,0,0,1,0,1,1,40,24000,0,0,24000,BC,4,2,6,5,10,0,85000,0,0,Increase,Single Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,150,Yes,0,Remains Same,Yes,Yes,Middle,16.926016,81.810932
Rajahmundry,Rural,3,2,1,1,2,0,0,1,Teacher,SSC,1,0,White,No,0,0,0,1,0,1,0,30,18000,0,0,18000,BC,5,3,3,8,11,0,95000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,2,0,100,Yes,0,Remains Same,Yes,Yes,Middle,16.966739,81.792606
Rajahmundry,Rural,5,2,3,1,2,2,0,3,Teacher,SSC,1,0,White,Yes,0,0,0,1,0,1,0,60,20000,0,0,20000,SC,3,3,2,6,10,0,95000,0,0,Decrease,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,50,Yes,1,Decrease,No,No,Poor,16.965265,81.804177
Rajahmundry,Rural,4,2,2,2,0,2,0,2,Business,Graduation,1,0,White,Yes,0,0,0,1,1,1,0,55,12000,0,0,12000,BC,4,2,4,7,11,0,0,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,2,0,30,Yes,0,Remains Same,No,Yes,Poor,16.967282,81.80488
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Fishing,Intermediate,1,0,No,Yes,0,0,0,1,0,1,1,30,10000,0,0,10000,OC,5,3,5,8,15,0,60000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,1,1,50,Yes,0,Remains Same,Yes,Yes,Poor,16.969972,81.800068
Rajahmundry,Rural,4,2,2,2,0,2,0,2,Fishing,Graduation,1,0,White,Yes,0,0,0,1,1,1,0,35,12000,0,0,12000,BC,4,1,4,7,10,1000,40000,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,2,0,100,Yes,0,Remains Same,No,No,Poor,16.965369,81.807583
Rajahmundry,Rural,4,2,2,1,1,2,0,2,Farmer,Intermediate,1,0,White,Yes,0,0,0,1,0,0,0,20,8000,0,0,8000,OC,6,3,3,8,11,0,0,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,60,Yes,0,Remains Same,No,Yes,Poor,16.971885,81.806096
Rajahmundry,Rural,5,3,2,1,2,2,0,3,Farmer,SSC,1,0,No,Yes,0,0,0,0,0,1,1,35,14000,0,0,14000,SC,3,2,3,9,10,0,10000,0,0,Increase,Shed,Tap,Outside,Outside,Yes,0,0,0,0,1,0,30,Yes,0,Remains Same,No,Yes,Middle,16.981629,81.838807
Rajahmundry,Rural,4,1,3,1,1,2,0,2,Farmer,SSC,1,0,White,Yes,1,0,1,1,0,1,1,80,30000,0,0,30000,OC,4,2,2,6,15,0,60000,0,0,Remains Same,Second Floor,Bore,Inside,Inside,Yes,1,1,1,0,2,1,250,Yes,1,Increase,Yes,Yes,Middle,16.98496,81.837483
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Fishing,SSC,1,0,White,Yes,0,0,0,1,0,1,0,13,10000,0,0,10000,OC,3,1,2,5,10,0,0,0,0,Remains Same,Shed,Bore,Outside,Inside,Yes,0,0,0,0,2,0,110,Yes,0,Increase,No,No,Poor,16.991593,81.840385
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Business,Graduation,1,0,White,Yes,0,0,0,1,0,1,1,30,10000,0,0,10000,OC,5,3,5,8,10,0,80000,0,0,Increase,Single Floor,Bore,Outside,Inside,Yes,0,0,0,0,1,1,50,Yes,0,Remains Same,No,Yes,Poor,16.991607,81.841025
Rajahmundry,Rural,6,3,3,2,1,2,1,3,Teacher,Intermediate,2,0,White,Yes,1,0,0,1,0,1,2,60,30000,0,10000,20000,SC,5,2,4,3,11,0,90000,0,0,Remains Same,Second Floor,Tap,Inside,Inside,Yes,1,1,0,1,3,1,260,Yes,1,Increase,Yes,Yes,Middle,16.991081,81.840936
Rajahmundry,Rural,3,1,2,1,2,0,0,1,Business,Intermediate,1,0,White,Yes,0,0,0,1,0,1,0,30,18000,0,0,18000,BC,5,1,3,7,14,0,45000,0,0,Increase,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,2,0,120,Yes,0,Remains Same,Yes,Yes,Middle,16.990896,81.839611
